NTASData [id=16592874970, subwayLine=YUS, stationId=MUS1, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=0.42672, timeString=00.43, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874971, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874972, subwayLine=YUS, stationId=MUS1, trainId=116, trainMessage=Arriving, trainDirection=South, timeInt=4.5257644444444445, timeString=04.53, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874973, subwayLine=YUS, stationId=KNG1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874974, subwayLine=YUS, stationId=QUN1, trainId=128, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874975, subwayLine=YUS, stationId=QUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874976, subwayLine=YUS, stationId=DUN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.7545333333333333, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874977, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874978, subwayLine=YUS, stationId=COL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.6213911111111112, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874979, subwayLine=YUS, stationId=COL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874980, subwayLine=YUS, stationId=WEL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=2.539048888888889, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874981, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874982, subwayLine=YUS, stationId=BLO1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.493395555555556, timeString=03.49, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874983, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874984, subwayLine=YUS, stationId=ROS1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=4.82196888888889, timeString=04.82, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874985, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874986, subwayLine=YUS, stationId=SUM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.8513866666666665, timeString=05.85, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874987, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874988, subwayLine=YUS, stationId=STC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.259546666666667, timeString=07.26, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874989, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.0852, timeString=08.09, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874990, subwayLine=YUS, stationId=DAV1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.7774355555555557, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874991, subwayLine=YUS, stationId=DAV1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=9.291982222222222, timeString=09.29, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874992, subwayLine=YUS, stationId=DAV1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=10.117635555555555, timeString=10.12, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874993, subwayLine=YUS, stationId=EGL1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=3.391617777777778, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874994, subwayLine=YUS, stationId=EGL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=10.906164444444444, timeString=10.91, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874995, subwayLine=YUS, stationId=EGL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.731817777777776, timeString=11.73, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874996, subwayLine=YUS, stationId=LAW1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=7.683524444444444, timeString=07.68, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874997, subwayLine=YUS, stationId=LAW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=15.198071111111108, timeString=15.20, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874998, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=16.023724444444444, timeString=16.02, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592874999, subwayLine=YUS, stationId=YKM1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=0.6841066666666666, timeString=00.68, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875000, subwayLine=YUS, stationId=YKM1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=11.198191111111113, timeString=11.20, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875001, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=18.712737777777775, timeString=18.71, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875002, subwayLine=YUS, stationId=SHP1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=4.270457777777778, timeString=04.27, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875003, subwayLine=YUS, stationId=SHP1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=14.784542222222221, timeString=14.78, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875004, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=22.299088888888885, timeString=22.30, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875005, subwayLine=YUS, stationId=NYC1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=5.7316755555555545, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875006, subwayLine=YUS, stationId=NYC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=16.24576, timeString=16.25, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875007, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=23.76030666666666, timeString=23.76, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875008, subwayLine=YUS, stationId=FIN1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875009, subwayLine=YUS, stationId=FIN1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=8.338715555555554, timeString=08.34, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875010, subwayLine=YUS, stationId=FIN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=18.852800000000006, timeString=18.85, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875011, subwayLine=YUS, stationId=FIN2, trainId=123, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875012, subwayLine=YUS, stationId=FIN2, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875013, subwayLine=YUS, stationId=FIN2, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=8.338715555555554, timeString=08.34, trainDestination=FIN1, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875014, subwayLine=YUS, stationId=YKM2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=1.4986000000000002, timeString=01.50, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875015, subwayLine=YUS, stationId=LAW2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=0.24835555555555555, timeString=00.25, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875016, subwayLine=YUS, stationId=LAW2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=5.011573333333333, timeString=05.01, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875017, subwayLine=YUS, stationId=EGL2, trainId=121, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875018, subwayLine=YUS, stationId=EGL2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=4.531231111111111, timeString=04.53, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875019, subwayLine=YUS, stationId=EGL2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=9.294448888888889, timeString=09.29, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875020, subwayLine=YUS, stationId=DAV2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875021, subwayLine=YUS, stationId=DAV2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=6.140897777777777, timeString=06.14, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875022, subwayLine=YUS, stationId=DAV2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=10.904115555555554, timeString=10.90, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875023, subwayLine=YUS, stationId=STC2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875024, subwayLine=YUS, stationId=STC2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16592875025, subwayLine=YUS, stationId=STC2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=8.180106666666667, timeString=08.18, trainDestination=MUS2, createDate=Sun Sep 17 10:02:35 EDT 2017, systemMessageType=Normal]
