NTASData [id=16592938553, subwayLine=YUS, stationId=NYC1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=1.0470444444444444, timeString=01.05, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938554, subwayLine=YUS, stationId=NYC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938555, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=20.540666666666663, timeString=20.54, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938556, subwayLine=YUS, stationId=FIN1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938557, subwayLine=YUS, stationId=FIN1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.6540844444444445, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938558, subwayLine=YUS, stationId=FIN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938559, subwayLine=YUS, stationId=FIN2, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.6540844444444445, timeString=03.65, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938560, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938561, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=23.147706666666668, timeString=23.15, trainDestination=FIN1, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938562, subwayLine=YUS, stationId=SHP2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16592938563, subwayLine=YUS, stationId=YKM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.5807066666666665, timeString=03.58, trainDestination=MUS2, createDate=Sun Sep 17 10:06:59 EDT 2017, systemMessageType=Normal]
