NTASData [id=16592961075, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961076, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961077, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.278523489932886, timeString=01.28, trainDestination=DML1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961078, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.065738255033557, timeString=03.07, trainDestination=DML1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961079, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=4.653624161073825, timeString=04.65, trainDestination=DML1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961080, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961081, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=8.158288590604027, timeString=08.16, trainDestination=DML1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961082, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=8.158288590604027, timeString=08.16, trainDestination=DML1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961083, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.340939597315436, timeString=01.34, trainDestination=YIE2, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961084, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.1321812080536913, timeString=03.13, trainDestination=YIE2, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961085, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=0.5033557046979865, timeString=00.50, trainDestination=YIE1, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16592961086, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=7.273087248322147, timeString=07.27, trainDestination=YIE2, createDate=Sun Sep 17 10:08:33 EDT 2017, systemMessageType=Normal]
