NTASData [id=16592990078, subwayLine=YUS, stationId=DUN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=0.39398222222222223, timeString=00.39, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990079, subwayLine=YUS, stationId=DUN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990080, subwayLine=YUS, stationId=DUN2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=5.979644444444444, timeString=05.98, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990081, subwayLine=YUS, stationId=QUN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.1507733333333334, timeString=01.15, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990082, subwayLine=YUS, stationId=QUN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990083, subwayLine=YUS, stationId=QUN2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=6.7364355555555555, timeString=06.74, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990084, subwayLine=YUS, stationId=KNG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.9764266666666668, timeString=01.98, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990085, subwayLine=YUS, stationId=KNG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990086, subwayLine=YUS, stationId=KNG2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=7.562088888888889, timeString=07.56, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990087, subwayLine=YUS, stationId=UNI2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.783453333333334, timeString=02.78, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16592990088, subwayLine=YUS, stationId=UNI2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=MUS2, createDate=Sun Sep 17 10:10:32 EDT 2017, systemMessageType=Normal]
