NTASData [id=16592992134, subwayLine=YUS, stationId=QPK1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.8111066666666666, timeString=00.81, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992135, subwayLine=YUS, stationId=STP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.9618799999999998, timeString=01.96, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992136, subwayLine=YUS, stationId=OSG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.713026666666667, timeString=02.71, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992137, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.5468644444444446, timeString=03.55, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992138, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.453797777777778, timeString=04.45, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992139, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.248688888888889, timeString=05.25, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992140, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.0743422222222225, timeString=06.07, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992141, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.828875555555555, timeString=06.83, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992142, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.695733333333333, timeString=07.70, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992143, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=8.613391111111111, timeString=08.61, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
NTASData [id=16592992144, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:10:41 EDT 2017, systemMessageType=Normal]
