NTASData [id=16592997788, subwayLine=YUS, stationId=QUN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=0.5017911111111111, timeString=00.50, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997789, subwayLine=YUS, stationId=QUN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.009795555555556, timeString=03.01, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997790, subwayLine=YUS, stationId=QUN2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=5.8542088888888895, timeString=05.85, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997791, subwayLine=YUS, stationId=KNG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.3274444444444446, timeString=01.33, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997792, subwayLine=YUS, stationId=KNG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.835448888888889, timeString=03.84, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997793, subwayLine=YUS, stationId=KNG2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=6.679862222222223, timeString=06.68, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997794, subwayLine=YUS, stationId=UNI2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.134471111111111, timeString=02.13, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997795, subwayLine=YUS, stationId=UNI2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=4.642475555555556, timeString=04.64, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997796, subwayLine=YUS, stationId=UNI2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=7.486888888888888, timeString=07.49, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997797, subwayLine=YUS, stationId=STA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.06116, timeString=03.06, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997798, subwayLine=YUS, stationId=STA2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.569164444444445, timeString=05.57, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997799, subwayLine=YUS, stationId=STA2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=8.413577777777778, timeString=08.41, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997800, subwayLine=YUS, stationId=OSG2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=0.44026666666666664, timeString=00.44, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997801, subwayLine=YUS, stationId=OSG2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.7564266666666666, timeString=03.76, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997802, subwayLine=YUS, stationId=OSG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=6.2644311111111115, timeString=06.26, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997803, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.1942355555555555, timeString=01.19, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997804, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.510395555555555, timeString=04.51, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997805, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=7.0184, timeString=07.02, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997806, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.3365422222222225, timeString=02.34, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997807, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.6527022222222225, timeString=05.65, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997808, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=8.160706666666666, timeString=08.16, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997809, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997810, subwayLine=YUS, stationId=MUS2, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.9469966666666666, timeString=00.95, trainDestination=MUS1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997811, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.5990755555555554, timeString=03.60, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997812, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997813, subwayLine=YUS, stationId=MUS1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.9469966666666666, timeString=00.95, trainDestination=MUS1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997814, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.5990755555555554, timeString=03.60, trainDestination=MUS2, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997815, subwayLine=YUS, stationId=QPK1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.20997333333333332, timeString=00.21, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997816, subwayLine=YUS, stationId=STP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.3607466666666665, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997817, subwayLine=YUS, stationId=OSG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.111893333333333, timeString=02.11, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997818, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.9457311111111113, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997819, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.8526644444444447, timeString=03.85, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997820, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.647555555555556, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997821, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.473208888888889, timeString=05.47, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997822, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.227742222222222, timeString=06.23, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997823, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.0946, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16592997824, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=8.012257777777778, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 10:11:06 EDT 2017, systemMessageType=Normal]
