NTASData [id=16593144223, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.3499555555555556, timeString=00.35, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144224, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=9.420755555555557, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144225, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.091346666666666, timeString=17.09, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144226, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.936306666666667, timeString=03.94, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144227, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=13.007106666666665, timeString=13.01, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144228, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.677697777777777, timeString=20.68, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144229, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.397524444444444, timeString=05.40, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144230, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.468324444444445, timeString=14.47, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144231, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=22.138915555555553, timeString=22.14, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144232, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.004564444444444, timeString=08.00, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593144233, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 10:20:50 EDT 2017, systemMessageType=Normal]
