NTASData [id=16593154073, subwayLine=YUS, stationId=STA2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=0.6716888888888889, timeString=00.67, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154074, subwayLine=YUS, stationId=STA2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.304368888888889, timeString=02.30, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154075, subwayLine=YUS, stationId=STA2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=9.817786666666667, timeString=09.82, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154076, subwayLine=YUS, stationId=OSG2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=1.3669555555555557, timeString=01.37, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154077, subwayLine=YUS, stationId=OSG2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.9996355555555554, timeString=03.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154078, subwayLine=YUS, stationId=OSG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=10.513053333333332, timeString=10.51, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154079, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154080, subwayLine=YUS, stationId=STP2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=2.1209244444444444, timeString=02.12, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154081, subwayLine=YUS, stationId=STP2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=3.7536044444444445, timeString=03.75, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154082, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.1423066666666668, timeString=01.14, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154083, subwayLine=YUS, stationId=QPK2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=3.263231111111111, timeString=03.26, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154084, subwayLine=YUS, stationId=QPK2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=4.895911111111111, timeString=04.90, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154085, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154086, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154087, subwayLine=YUS, stationId=MUS2, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.6745111111111111, timeString=00.67, trainDestination=MUS1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154088, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154089, subwayLine=YUS, stationId=MUS1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.6745111111111111, timeString=00.67, trainDestination=MUS1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154090, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.40484, timeString=02.40, trainDestination=MUS2, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154091, subwayLine=YUS, stationId=QPK1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154092, subwayLine=YUS, stationId=STP1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.1507733333333334, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154093, subwayLine=YUS, stationId=OSG1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=0.31213777777777774, timeString=00.31, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154094, subwayLine=YUS, stationId=OSG1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.90192, timeString=01.90, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154095, subwayLine=YUS, stationId=STA1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.1459755555555555, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154096, subwayLine=YUS, stationId=STA1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.7357577777777777, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154097, subwayLine=YUS, stationId=UNI1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.27107444444444445, timeString=00.27, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154098, subwayLine=YUS, stationId=UNI1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=2.052908888888889, timeString=02.05, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154099, subwayLine=YUS, stationId=UNI1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.6426911111111115, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154100, subwayLine=YUS, stationId=KNG1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.0659655555555556, timeString=01.07, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154101, subwayLine=YUS, stationId=KNG1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=2.8478, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154102, subwayLine=YUS, stationId=KNG1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=4.437582222222223, timeString=04.44, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154103, subwayLine=YUS, stationId=QUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.891618888888889, timeString=01.89, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154104, subwayLine=YUS, stationId=QUN1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=3.6734533333333337, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154105, subwayLine=YUS, stationId=QUN1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=5.263235555555556, timeString=05.26, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16593154106, subwayLine=YUS, stationId=DUN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.08974666666666667, timeString=00.09, trainDestination=FIN1, createDate=Sun Sep 17 10:21:33 EDT 2017, systemMessageType=Normal]
