NTASData [id=16593260790, subwayLine=SHEP, stationId=BYV1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=1.7778523489932885, timeString=01.78, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260791, subwayLine=SHEP, stationId=BSS1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=3.5650671140939596, timeString=03.57, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260792, subwayLine=SHEP, stationId=LES1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=5.152953020134228, timeString=05.15, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260793, subwayLine=SHEP, stationId=DML1, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=2.4020134228187917, timeString=02.40, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260794, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=8.657617449664428, timeString=08.66, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260795, subwayLine=SHEP, stationId=DML2, trainId=464, trainMessage=Arriving, trainDirection=East, timeInt=2.4020134228187917, timeString=02.40, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260796, subwayLine=SHEP, stationId=DML2, trainId=461, trainMessage=Arriving, trainDirection=East, timeInt=8.657617449664428, timeString=08.66, trainDestination=DML1, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260797, subwayLine=SHEP, stationId=LES2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=3.2073825503355704, timeString=03.21, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260798, subwayLine=SHEP, stationId=BSS2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=4.803322147651007, timeString=04.80, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260799, subwayLine=SHEP, stationId=BYV2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=0.6845637583892618, timeString=00.68, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260800, subwayLine=SHEP, stationId=BYV2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=6.594563758389262, timeString=06.59, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260801, subwayLine=SHEP, stationId=YIE2, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.825469798657718, timeString=04.83, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260802, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=10.735469798657718, timeString=10.74, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260803, subwayLine=SHEP, stationId=YIE1, trainId=462, trainMessage=Arriving, trainDirection=West, timeInt=4.825469798657718, timeString=04.83, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16593260804, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=10.735469798657718, timeString=10.74, trainDestination=YIE2, createDate=Sun Sep 17 10:28:48 EDT 2017, systemMessageType=Normal]
