NTASData [id=16593358993, subwayLine=BD, stationId=VPK1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=1.9205230959752324, timeString=01.92, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358994, subwayLine=BD, stationId=VPK1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=6.289973126934985, timeString=06.29, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358995, subwayLine=BD, stationId=VPK1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=10.110994179566564, timeString=10.11, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358996, subwayLine=BD, stationId=WAR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.862848173374614, timeString=05.86, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358997, subwayLine=BD, stationId=WAR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.232298204334366, timeString=10.23, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358998, subwayLine=BD, stationId=WAR1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=14.053319256965944, timeString=14.05, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593358999, subwayLine=BD, stationId=KEN1, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359000, subwayLine=BD, stationId=KEN1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.7800143405572756, timeString=00.78, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359001, subwayLine=BD, stationId=KEN1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359002, subwayLine=BD, stationId=KEN2, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359003, subwayLine=BD, stationId=KEN2, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.7800143405572756, timeString=00.78, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359004, subwayLine=BD, stationId=KEN2, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359005, subwayLine=BD, stationId=WAR2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.515380804953561, timeString=04.52, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359006, subwayLine=BD, stationId=VPK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.9755487306501549, timeString=00.98, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359007, subwayLine=BD, stationId=VPK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=8.46348104024768, timeString=08.46, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359008, subwayLine=BD, stationId=MST2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.215051517027864, timeString=03.22, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359009, subwayLine=BD, stationId=MST2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=10.70298382662539, timeString=10.70, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359010, subwayLine=BD, stationId=WDB2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=4.948944891640868, timeString=04.95, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359011, subwayLine=BD, stationId=WDB2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=12.436877201238394, timeString=12.44, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359012, subwayLine=BD, stationId=COX2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=0.4586154798761611, timeString=00.46, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359013, subwayLine=BD, stationId=COX2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=6.256212631578948, timeString=06.26, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359014, subwayLine=BD, stationId=COX2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=13.744144941176472, timeString=13.74, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359015, subwayLine=BD, stationId=GWD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=1.401538699690403, timeString=01.40, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359016, subwayLine=BD, stationId=GWD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=7.199135851393189, timeString=07.20, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359017, subwayLine=BD, stationId=GWD2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=14.687068160990716, timeString=14.69, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359018, subwayLine=BD, stationId=DON2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.5930201857585136, timeString=02.59, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359019, subwayLine=BD, stationId=DON2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=8.390617337461302, timeString=08.39, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359020, subwayLine=BD, stationId=DON2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=15.878549647058826, timeString=15.88, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359021, subwayLine=BD, stationId=PAP2, trainId=208, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359022, subwayLine=BD, stationId=PAP2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.523487182662539, timeString=03.52, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359023, subwayLine=BD, stationId=PAP2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=9.321084334365326, timeString=09.32, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359024, subwayLine=BD, stationId=CHE2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.027568916408669, timeString=01.03, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359025, subwayLine=BD, stationId=CHE2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.551056099071207, timeString=04.55, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359026, subwayLine=BD, stationId=CHE2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=10.348653250773996, timeString=10.35, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359027, subwayLine=BD, stationId=BRD2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=2.105625169040248, timeString=02.11, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16593359028, subwayLine=BD, stationId=BRD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.629112351702787, timeString=05.63, trainDestination=KIP2, createDate=Sun Sep 17 10:36:10 EDT 2017, systemMessageType=Normal]
