NTASData [id=16593405970, subwayLine=YUS, stationId=STC2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.5623822222222223, timeString=01.56, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405971, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.377008888888889, timeString=04.38, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405972, subwayLine=YUS, stationId=STC2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=10.363377777777778, timeString=10.36, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405973, subwayLine=YUS, stationId=SUM2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=2.9665911111111107, timeString=02.97, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405974, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.781217777777777, timeString=05.78, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405975, subwayLine=YUS, stationId=SUM2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=11.767586666666668, timeString=11.77, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405976, subwayLine=YUS, stationId=ROS2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.985284444444445, timeString=03.99, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405977, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.799911111111111, timeString=06.80, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405978, subwayLine=YUS, stationId=ROS2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=12.786280000000001, timeString=12.79, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405979, subwayLine=YUS, stationId=BLO2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=5.313293333333333, timeString=05.31, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405980, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.12792, timeString=08.13, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405981, subwayLine=YUS, stationId=BLO2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=14.11428888888889, timeString=14.11, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405982, subwayLine=YUS, stationId=WEL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=6.26764, timeString=06.27, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405983, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.082266666666666, timeString=09.08, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405984, subwayLine=YUS, stationId=WEL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=15.068635555555558, timeString=15.07, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405985, subwayLine=YUS, stationId=COL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=0.6745111111111111, timeString=00.67, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405986, subwayLine=YUS, stationId=COL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=7.197151111111111, timeString=07.20, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16593405987, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.011777777777777, timeString=10.01, trainDestination=MUS2, createDate=Sun Sep 17 10:39:44 EDT 2017, systemMessageType=Normal]
