NTASData [id=16593577075, subwayLine=YUS, stationId=YKM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.4986000000000002, timeString=01.50, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577076, subwayLine=YUS, stationId=YKM2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=6.988693333333333, timeString=06.99, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577077, subwayLine=YUS, stationId=LAW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.011573333333333, timeString=05.01, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577078, subwayLine=YUS, stationId=LAW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=10.501666666666665, timeString=10.50, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577079, subwayLine=YUS, stationId=EGL2, trainId=101, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577080, subwayLine=YUS, stationId=EGL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=0.39285333333333333, timeString=00.39, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577081, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.294448888888889, timeString=09.29, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577082, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577083, subwayLine=YUS, stationId=DAV2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=2.00252, timeString=02.00, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577084, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.904115555555554, timeString=10.90, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577085, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577086, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=4.041728888888889, timeString=04.04, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577087, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.943324444444443, timeString=12.94, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577088, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577089, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=5.445937777777777, timeString=05.45, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577090, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=14.347533333333331, timeString=14.35, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577091, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577092, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=6.464631111111112, timeString=06.46, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577093, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=15.366226666666664, timeString=15.37, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577094, subwayLine=YUS, stationId=BLO2, trainId=128, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577095, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577096, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=7.7926400000000005, timeString=07.79, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577097, subwayLine=YUS, stationId=WEL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577098, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577099, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=8.746986666666666, timeString=08.75, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577100, subwayLine=YUS, stationId=COL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=1.8838577777777779, timeString=01.88, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577101, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.283644444444443, timeString=09.28, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577102, subwayLine=YUS, stationId=COL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=9.676497777777776, timeString=09.68, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577103, subwayLine=YUS, stationId=DUN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577104, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.15050222222222, timeString=10.15, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577105, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=10.543355555555555, timeString=10.54, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577106, subwayLine=YUS, stationId=QUN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577107, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.907293333333334, timeString=10.91, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577108, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=11.300146666666667, timeString=11.30, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577109, subwayLine=YUS, stationId=KNG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577110, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.732946666666665, timeString=11.73, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577111, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=12.125799999999998, timeString=12.13, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577112, subwayLine=YUS, stationId=UNI2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
NTASData [id=16593577113, subwayLine=YUS, stationId=UNI2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=MUS2, createDate=Sun Sep 17 10:52:34 EDT 2017, systemMessageType=Normal]
