NTASData [id=16593590886, subwayLine=YUS, stationId=DAV2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=0.24214666666666665, timeString=00.24, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590887, subwayLine=YUS, stationId=DAV2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.943, timeString=01.94, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590888, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590889, subwayLine=YUS, stationId=STC2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.2813555555555554, timeString=02.28, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590890, subwayLine=YUS, stationId=STC2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.9822088888888887, timeString=03.98, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590891, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590892, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.685564444444444, timeString=03.69, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590893, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.386417777777777, timeString=05.39, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590894, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.848933333333331, timeString=12.85, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590895, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.704257777777777, timeString=04.70, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590896, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.405111111111111, timeString=06.41, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16593590897, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.867626666666665, timeString=13.87, trainDestination=MUS2, createDate=Sun Sep 17 10:53:36 EDT 2017, systemMessageType=Normal]
