NTASData [id=16593681598, subwayLine=BD, stationId=COX1, trainId=220, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681599, subwayLine=BD, stationId=COX1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=22.20079173250774, timeString=22.20, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681600, subwayLine=BD, stationId=WDB1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=1.4353686687306504, timeString=01.44, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681601, subwayLine=BD, stationId=WDB1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=23.636160401238392, timeString=23.64, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681602, subwayLine=BD, stationId=MST1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=3.160202972136223, timeString=03.16, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681603, subwayLine=BD, stationId=MST1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=25.360994704643964, timeString=25.36, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681604, subwayLine=BD, stationId=VPK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.335726068111455, timeString=05.34, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681605, subwayLine=BD, stationId=VPK1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=27.536517800619198, timeString=27.54, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681606, subwayLine=BD, stationId=WAR1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=9.278051145510837, timeString=09.28, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681607, subwayLine=BD, stationId=WAR1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=31.47884287801858, timeString=31.48, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681608, subwayLine=BD, stationId=KEN1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=14.359458174613005, timeString=14.36, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681609, subwayLine=BD, stationId=KEN1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=36.56024990712075, timeString=36.56, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681610, subwayLine=BD, stationId=KEN2, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=14.359458174613005, timeString=14.36, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681611, subwayLine=BD, stationId=KEN2, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=36.56024990712075, timeString=36.56, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681612, subwayLine=BD, stationId=KEL2, trainId=209, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681613, subwayLine=BD, stationId=HPK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=1.1957279256965947, timeString=01.20, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681614, subwayLine=BD, stationId=RUN2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.41608520123839, timeString=02.42, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681615, subwayLine=BD, stationId=JNE2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=3.6309504148606817, timeString=03.63, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681616, subwayLine=BD, stationId=OML2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.234619640866875, timeString=05.23, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681617, subwayLine=BD, stationId=RYK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=7.651872728173377, timeString=07.65, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681618, subwayLine=BD, stationId=ISL2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=9.879366583281735, timeString=09.88, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681619, subwayLine=BD, stationId=KIP2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=12.227765067492262, timeString=12.23, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681620, subwayLine=BD, stationId=KIP1, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=12.227765067492262, timeString=12.23, trainDestination=KIP2, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681621, subwayLine=BD, stationId=RUN1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=0.3170674922600619, timeString=00.32, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681622, subwayLine=BD, stationId=HPK1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=1.5419543034055727, timeString=01.54, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681623, subwayLine=BD, stationId=KEL1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=2.784109969040248, timeString=02.78, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681624, subwayLine=BD, stationId=DNW1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=3.734252136222911, timeString=03.73, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681625, subwayLine=BD, stationId=LAN1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=5.155607554179568, timeString=05.16, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681626, subwayLine=BD, stationId=DUF1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=6.035117275541797, timeString=06.04, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681627, subwayLine=BD, stationId=OSS1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=7.28491653250774, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681628, subwayLine=BD, stationId=CHR1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=8.518392475541797, timeString=08.52, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681629, subwayLine=BD, stationId=BAT1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=9.501798419814243, timeString=09.50, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681630, subwayLine=BD, stationId=BSP1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=10.435945664396286, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681631, subwayLine=BD, stationId=SGL1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=11.346595943034055, timeString=11.35, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681632, subwayLine=BD, stationId=BAU1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=12.438286097832819, timeString=12.44, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681633, subwayLine=BD, stationId=YNG1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=13.23852894613003, timeString=13.24, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681634, subwayLine=BD, stationId=SHE1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=14.557969813003098, timeString=14.56, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681635, subwayLine=BD, stationId=CFK1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=15.596013280495358, timeString=15.60, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681636, subwayLine=BD, stationId=BRD1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=17.170523621052634, timeString=17.17, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681637, subwayLine=BD, stationId=CHE1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=18.20899173250774, timeString=18.21, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681638, subwayLine=BD, stationId=PAP1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=19.178101330030962, timeString=19.18, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681639, subwayLine=BD, stationId=DON1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=20.11677811021672, timeString=20.12, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681640, subwayLine=BD, stationId=GWD1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=21.246544673684213, timeString=21.25, trainDestination=KEN1, createDate=Sun Sep 17 11:00:59 EDT 2017, systemMessageType=Normal]
