NTASData [id=16593681791, subwayLine=YUS, stationId=DUN1, trainId=115, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681792, subwayLine=YUS, stationId=DUN1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=4.8669955555555555, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681793, subwayLine=YUS, stationId=DUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=14.066167037037035, timeString=14.07, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681794, subwayLine=YUS, stationId=COL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681795, subwayLine=YUS, stationId=COL1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=5.733853333333334, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681796, subwayLine=YUS, stationId=COL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=14.933024814814813, timeString=14.93, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681797, subwayLine=YUS, stationId=WEL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681798, subwayLine=YUS, stationId=WEL1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=6.651511111111111, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681799, subwayLine=YUS, stationId=WEL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=15.850682592592591, timeString=15.85, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681800, subwayLine=YUS, stationId=BLO1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.7388622222222225, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681801, subwayLine=YUS, stationId=BLO1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=7.6058577777777785, timeString=07.61, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681802, subwayLine=YUS, stationId=BLO1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=16.805029259259257, timeString=16.81, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681803, subwayLine=YUS, stationId=ROS1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=4.067435555555556, timeString=04.07, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681804, subwayLine=YUS, stationId=ROS1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=8.934431111111111, timeString=08.93, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681805, subwayLine=YUS, stationId=ROS1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=18.13360259259259, timeString=18.13, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681806, subwayLine=YUS, stationId=SUM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=5.096853333333334, timeString=05.10, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681807, subwayLine=YUS, stationId=SUM1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=9.963848888888888, timeString=09.96, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681808, subwayLine=YUS, stationId=SUM1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=19.16302037037037, timeString=19.16, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681809, subwayLine=YUS, stationId=STC1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=6.505013333333332, timeString=06.51, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681810, subwayLine=YUS, stationId=STC1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=11.372008888888887, timeString=11.37, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681811, subwayLine=YUS, stationId=STC1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=20.571180370370367, timeString=20.57, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681812, subwayLine=YUS, stationId=DAV1, trainId=111, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681813, subwayLine=YUS, stationId=DAV1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=8.537448888888889, timeString=08.54, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681814, subwayLine=YUS, stationId=DAV1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=13.404444444444444, timeString=13.40, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681815, subwayLine=YUS, stationId=EGL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=1.6141822222222224, timeString=01.61, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681816, subwayLine=YUS, stationId=EGL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=10.151631111111111, timeString=10.15, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681817, subwayLine=YUS, stationId=EGL1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=15.018626666666666, timeString=15.02, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681818, subwayLine=YUS, stationId=LAW1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=5.906088888888888, timeString=05.91, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681819, subwayLine=YUS, stationId=LAW1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=14.443537777777777, timeString=14.44, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681820, subwayLine=YUS, stationId=LAW1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=19.310533333333332, timeString=19.31, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681821, subwayLine=YUS, stationId=YKM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=9.420755555555557, timeString=09.42, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681822, subwayLine=YUS, stationId=YKM1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=17.958204444444444, timeString=17.96, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681823, subwayLine=YUS, stationId=YKM1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=22.8252, timeString=22.83, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681824, subwayLine=YUS, stationId=SHP1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=13.007106666666665, timeString=13.01, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681825, subwayLine=YUS, stationId=SHP1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=21.544555555555554, timeString=21.54, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681826, subwayLine=YUS, stationId=SHP1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=26.41155111111111, timeString=26.41, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681827, subwayLine=YUS, stationId=NYC1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=14.468324444444445, timeString=14.47, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681828, subwayLine=YUS, stationId=NYC1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=23.00577333333333, timeString=23.01, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681829, subwayLine=YUS, stationId=NYC1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=27.872768888888885, timeString=27.87, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681830, subwayLine=YUS, stationId=FIN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681831, subwayLine=YUS, stationId=FIN1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=25.612813333333328, timeString=25.61, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681832, subwayLine=YUS, stationId=FIN1, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=30.479808888888886, timeString=30.48, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681833, subwayLine=YUS, stationId=FIN2, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=17.075364444444446, timeString=17.08, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681834, subwayLine=YUS, stationId=FIN2, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=25.612813333333328, timeString=25.61, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681835, subwayLine=YUS, stationId=FIN2, trainId=191, trainMessage=Arriving, trainDirection=North, timeInt=30.479808888888886, timeString=30.48, trainDestination=FIN1, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681836, subwayLine=YUS, stationId=SHP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=0.6355644444444444, timeString=00.64, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681837, subwayLine=YUS, stationId=YKM2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.216271111111111, timeString=04.22, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681838, subwayLine=YUS, stationId=LAW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.431626666666667, timeString=02.43, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681839, subwayLine=YUS, stationId=LAW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.7292444444444435, timeString=07.73, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681840, subwayLine=YUS, stationId=EGL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.7145022222222215, timeString=06.71, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681841, subwayLine=YUS, stationId=EGL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=12.01212, timeString=12.01, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681842, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=0.8449733333333334, timeString=00.84, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681843, subwayLine=YUS, stationId=DAV2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=8.32416888888889, timeString=08.32, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681844, subwayLine=YUS, stationId=DAV2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=13.621786666666665, timeString=13.62, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681845, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.884182222222222, timeString=02.88, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681846, subwayLine=YUS, stationId=STC2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=10.363377777777778, timeString=10.36, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681847, subwayLine=YUS, stationId=STC2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=15.660995555555555, timeString=15.66, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681848, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.41599555555555556, timeString=00.42, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681849, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.288391111111111, timeString=04.29, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681850, subwayLine=YUS, stationId=SUM2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=11.767586666666668, timeString=11.77, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681851, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.4346888888888891, timeString=01.43, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681852, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.3070844444444445, timeString=05.31, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681853, subwayLine=YUS, stationId=ROS2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=12.786280000000001, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16593681854, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.7626977777777775, timeString=02.76, trainDestination=SHW2, createDate=Sun Sep 17 11:01:00 EDT 2017, systemMessageType=Normal]
