NTASData [id=16593822176, subwayLine=BD, stationId=RUN2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=0.7745505882352942, timeString=00.77, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822177, subwayLine=BD, stationId=RUN2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=8.120949904643965, timeString=08.12, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822178, subwayLine=BD, stationId=RUN2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=10.275384951083593, timeString=10.28, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822179, subwayLine=BD, stationId=JNE2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=1.9894158018575854, timeString=01.99, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822180, subwayLine=BD, stationId=JNE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.335815118266256, timeString=09.34, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822181, subwayLine=BD, stationId=JNE2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=11.490250164705882, timeString=11.49, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822182, subwayLine=BD, stationId=OML2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=3.5930850278637774, timeString=03.59, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822183, subwayLine=BD, stationId=OML2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=10.939484344272447, timeString=10.94, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822184, subwayLine=BD, stationId=OML2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=13.093919390712076, timeString=13.09, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822185, subwayLine=BD, stationId=RYK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.7003454712074305, timeString=00.70, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822186, subwayLine=BD, stationId=RYK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=6.010338115170279, timeString=06.01, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822187, subwayLine=BD, stationId=RYK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=13.356737431578951, timeString=13.36, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16593822188, subwayLine=BD, stationId=ISL2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=2.9278393263157896, timeString=02.93, trainDestination=KIP2, createDate=Sun Sep 17 11:11:11 EDT 2017, systemMessageType=Normal]
