NTASData [id=16593845092, subwayLine=YUS, stationId=SCW2, trainId=128, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845093, subwayLine=YUS, stationId=SCW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=3.0061022222222227, timeString=03.01, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845094, subwayLine=YUS, stationId=SCW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.2121088888888885, timeString=07.21, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845095, subwayLine=YUS, stationId=EGW2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845096, subwayLine=YUS, stationId=EGW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.813171111111111, timeString=04.81, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845097, subwayLine=YUS, stationId=EGW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=7.819273333333334, timeString=07.82, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845098, subwayLine=YUS, stationId=GCN2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.8196400000000001, timeString=01.82, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845099, subwayLine=YUS, stationId=GCN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.632811111111112, timeString=06.63, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845100, subwayLine=YUS, stationId=GCN2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=9.638913333333333, timeString=09.64, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845101, subwayLine=YUS, stationId=LWW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.183773333333334, timeString=03.18, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845102, subwayLine=YUS, stationId=LWW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=7.996944444444444, timeString=08.00, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845103, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=11.003046666666666, timeString=11.00, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845104, subwayLine=YUS, stationId=YKD2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=5.21, timeString=05.21, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845105, subwayLine=YUS, stationId=YKD2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=10.023171111111111, timeString=10.02, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16593845106, subwayLine=YUS, stationId=YKD2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=13.029273333333334, timeString=13.03, trainDestination=SHW2, createDate=Sun Sep 17 11:12:51 EDT 2017, systemMessageType=Normal]
