NTASData [id=16593877755, subwayLine=YUS, stationId=DUN2, trainId=104, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877756, subwayLine=YUS, stationId=DUN2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.2530044444444446, timeString=02.25, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877757, subwayLine=YUS, stationId=DUN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.501626666666667, timeString=06.50, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877758, subwayLine=YUS, stationId=QUN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=0.7567911111111111, timeString=00.76, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877759, subwayLine=YUS, stationId=QUN2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.009795555555556, timeString=03.01, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877760, subwayLine=YUS, stationId=QUN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.258417777777778, timeString=07.26, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877761, subwayLine=YUS, stationId=KNG2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.5824444444444445, timeString=01.58, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877762, subwayLine=YUS, stationId=KNG2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.835448888888889, timeString=03.84, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877763, subwayLine=YUS, stationId=KNG2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.084071111111111, timeString=08.08, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877764, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877765, subwayLine=YUS, stationId=UNI2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=2.3894711111111113, timeString=02.39, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877766, subwayLine=YUS, stationId=UNI2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=4.642475555555556, timeString=04.64, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877767, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=0.9266888888888889, timeString=00.93, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877768, subwayLine=YUS, stationId=STA2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.31616, timeString=03.32, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877769, subwayLine=YUS, stationId=STA2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=5.569164444444445, timeString=05.57, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877770, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.6219555555555556, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877771, subwayLine=YUS, stationId=OSG2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=4.011426666666667, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877772, subwayLine=YUS, stationId=OSG2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=6.2644311111111115, timeString=06.26, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877773, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.49896888888888885, timeString=00.50, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877774, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877775, subwayLine=YUS, stationId=STP2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=4.765395555555555, timeString=04.77, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877776, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.6412755555555556, timeString=01.64, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877777, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.5182311111111115, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877778, subwayLine=YUS, stationId=QPK2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=5.9077022222222215, timeString=05.91, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
