NTASData [id=16593953954, subwayLine=BD, stationId=HPK1, trainId=207, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953955, subwayLine=BD, stationId=HPK1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=5.004248990712075, timeString=05.00, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953956, subwayLine=BD, stationId=HPK1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=10.0873757126935, timeString=10.09, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953957, subwayLine=BD, stationId=KEL1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=1.2421556656346753, timeString=01.24, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953958, subwayLine=BD, stationId=KEL1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=6.2464046563467495, timeString=06.25, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953959, subwayLine=BD, stationId=KEL1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=11.329531378328175, timeString=11.33, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953960, subwayLine=BD, stationId=DNW1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=2.1922978328173377, timeString=02.19, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953961, subwayLine=BD, stationId=DNW1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=7.196546823529411, timeString=07.20, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953962, subwayLine=BD, stationId=DNW1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=12.279673545510839, timeString=12.28, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953963, subwayLine=BD, stationId=LAN1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=3.6136532507739947, timeString=03.61, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953964, subwayLine=BD, stationId=LAN1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=8.617902241486068, timeString=08.62, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953965, subwayLine=BD, stationId=LAN1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=13.701028963467495, timeString=13.70, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953966, subwayLine=BD, stationId=DUF1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=4.493162972136224, timeString=04.49, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953967, subwayLine=BD, stationId=DUF1, trainId=208, trainMessage=Arriving, trainDirection=East, timeInt=9.497411962848297, timeString=09.50, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953968, subwayLine=BD, stationId=DUF1, trainId=209, trainMessage=Arriving, trainDirection=East, timeInt=14.580538684829724, timeString=14.58, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953969, subwayLine=BD, stationId=OSS1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=0.9947992569659444, timeString=00.99, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16593953970, subwayLine=BD, stationId=OSS1, trainId=207, trainMessage=Arriving, trainDirection=East, timeInt=5.742962229102167, timeString=05.74, trainDestination=KEN1, createDate=Sun Sep 17 11:20:45 EDT 2017, systemMessageType=Normal]
