NTASData [id=16594026174, subwayLine=YUS, stationId=UNI2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=0.16481777777777776, timeString=00.16, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026175, subwayLine=YUS, stationId=UNI2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=5.140186666666667, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026176, subwayLine=YUS, stationId=UNI2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=9.268146666666667, timeString=09.27, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026177, subwayLine=YUS, stationId=STA2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.0915066666666666, timeString=01.09, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026178, subwayLine=YUS, stationId=STA2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=6.066875555555555, timeString=06.07, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026179, subwayLine=YUS, stationId=STA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=10.194835555555555, timeString=10.19, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026180, subwayLine=YUS, stationId=OSG2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.7867733333333333, timeString=01.79, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026181, subwayLine=YUS, stationId=OSG2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=6.762142222222222, timeString=06.76, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026182, subwayLine=YUS, stationId=OSG2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=10.890102222222222, timeString=10.89, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026183, subwayLine=YUS, stationId=STP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=2.5407422222222222, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026184, subwayLine=YUS, stationId=STP2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=7.516111111111112, timeString=07.52, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026185, subwayLine=YUS, stationId=STP2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=11.644071111111108, timeString=11.64, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026186, subwayLine=YUS, stationId=QPK2, trainId=106, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026187, subwayLine=YUS, stationId=QPK2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=3.683048888888889, timeString=03.68, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026188, subwayLine=YUS, stationId=QPK2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=8.658417777777778, timeString=08.66, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026189, subwayLine=YUS, stationId=MUS2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=1.2625333333333333, timeString=01.26, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026190, subwayLine=YUS, stationId=MUS2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.945582222222223, timeString=04.95, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026191, subwayLine=YUS, stationId=MUS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=9.920951111111112, timeString=09.92, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026192, subwayLine=YUS, stationId=SGU2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=0.5800795555555556, timeString=00.58, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026193, subwayLine=YUS, stationId=SGU2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.4220555555555556, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026194, subwayLine=YUS, stationId=SGU2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.105104444444445, timeString=06.11, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026195, subwayLine=YUS, stationId=SPA2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=1.747786222222222, timeString=01.75, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026196, subwayLine=YUS, stationId=SPA2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.5897622222222223, timeString=03.59, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026197, subwayLine=YUS, stationId=SPA2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.2728111111111104, timeString=07.27, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026198, subwayLine=YUS, stationId=DUP2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=2.745595111111111, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026199, subwayLine=YUS, stationId=DUP2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=4.587571111111111, timeString=04.59, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026200, subwayLine=YUS, stationId=DUP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.27062, timeString=08.27, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026201, subwayLine=YUS, stationId=SCW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=5.370132888888889, timeString=05.37, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
NTASData [id=16594026202, subwayLine=YUS, stationId=SCW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.2121088888888885, timeString=07.21, trainDestination=SHW2, createDate=Sun Sep 17 11:26:00 EDT 2017, systemMessageType=Normal]
