NTASData [id=16594077622, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=0.2517422222222222, timeString=00.25, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077623, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=0.5215466666666667, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077624, subwayLine=YUS, stationId=SPA1, trainId=194, trainMessage=Arriving, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077625, subwayLine=YUS, stationId=SGU1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=0.28363333333333335, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077626, subwayLine=YUS, stationId=SGU1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=1.3813488888888887, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077627, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.6511533333333333, timeString=01.65, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077628, subwayLine=YUS, stationId=MUS1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=1.48563, timeString=01.49, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077629, subwayLine=YUS, stationId=MUS1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=2.583345555555556, timeString=02.58, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077630, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.8531500000000003, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077631, subwayLine=YUS, stationId=QPK1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=2.7481633333333333, timeString=02.75, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077632, subwayLine=YUS, stationId=QPK1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=3.845878888888889, timeString=03.85, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077633, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.115683333333333, timeString=04.12, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077634, subwayLine=YUS, stationId=STP1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=0.8957733333333333, timeString=00.90, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077635, subwayLine=YUS, stationId=STP1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=3.8989366666666667, timeString=03.90, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077636, subwayLine=YUS, stationId=STP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=4.996652222222222, timeString=05.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077637, subwayLine=YUS, stationId=OSG1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=1.6469200000000002, timeString=01.65, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077638, subwayLine=YUS, stationId=OSG1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=4.650083333333333, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077639, subwayLine=YUS, stationId=OSG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=5.747798888888887, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077640, subwayLine=YUS, stationId=STA1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077641, subwayLine=YUS, stationId=STA1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=2.480757777777778, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077642, subwayLine=YUS, stationId=STA1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=5.48392111111111, timeString=05.48, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077643, subwayLine=YUS, stationId=UNI1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.9069333333333333, timeString=00.91, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077644, subwayLine=YUS, stationId=UNI1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=3.3876911111111117, timeString=03.39, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077645, subwayLine=YUS, stationId=UNI1, trainId=18, trainMessage=Arriving, trainDirection=North, timeInt=6.390854444444443, timeString=06.39, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077646, subwayLine=YUS, stationId=KNG1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.7018244444444444, timeString=01.70, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16594077647, subwayLine=YUS, stationId=KNG1, trainId=93, trainMessage=Arriving, trainDirection=North, timeInt=4.182582222222223, timeString=04.18, trainDestination=FIN1, createDate=Sun Sep 17 11:29:46 EDT 2017, systemMessageType=Normal]
