NTASData [id=16594105605, subwayLine=YUS, stationId=YKM2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.9915555555555557, timeString=02.99, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105606, subwayLine=YUS, stationId=LAW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=1.3546666666666667, timeString=01.35, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105607, subwayLine=YUS, stationId=LAW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=6.504528888888889, timeString=06.50, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105608, subwayLine=YUS, stationId=EGL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.637542222222222, timeString=05.64, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105609, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=10.787404444444444, timeString=10.79, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105610, subwayLine=YUS, stationId=DAV2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=1.3546666666666667, timeString=01.35, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105611, subwayLine=YUS, stationId=DAV2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=7.247208888888888, timeString=07.25, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105612, subwayLine=YUS, stationId=DAV2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=12.397071111111112, timeString=12.40, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105613, subwayLine=YUS, stationId=STC2, trainId=109, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105614, subwayLine=YUS, stationId=STC2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.3938755555555553, timeString=03.39, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105615, subwayLine=YUS, stationId=STC2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=9.286417777777778, timeString=09.29, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105616, subwayLine=YUS, stationId=SUM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105617, subwayLine=YUS, stationId=SUM2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.798084444444444, timeString=04.80, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105618, subwayLine=YUS, stationId=SUM2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=10.690626666666667, timeString=10.69, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105619, subwayLine=YUS, stationId=ROS2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105620, subwayLine=YUS, stationId=ROS2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=5.816777777777777, timeString=05.82, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105621, subwayLine=YUS, stationId=ROS2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=11.709320000000002, timeString=11.71, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105622, subwayLine=YUS, stationId=BLO2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16594105623, subwayLine=YUS, stationId=BLO2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=7.144786666666667, timeString=07.14, trainDestination=SHW2, createDate=Sun Sep 17 11:31:50 EDT 2017, systemMessageType=Normal]
