NTASData [id=16594138598, subwayLine=BD, stationId=BAU2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=0.07530352941176473, timeString=00.08, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138599, subwayLine=BD, stationId=BAU2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=3.1105917027863783, timeString=03.11, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138600, subwayLine=BD, stationId=BAU2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=7.255570803715171, timeString=07.26, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138601, subwayLine=BD, stationId=SGL2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=1.2033715170278638, timeString=01.20, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138602, subwayLine=BD, stationId=SGL2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=4.238659690402477, timeString=04.24, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138603, subwayLine=BD, stationId=SGL2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=8.38363879133127, timeString=08.38, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138604, subwayLine=BD, stationId=BSP2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=2.009134736842105, timeString=02.01, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138605, subwayLine=BD, stationId=BSP2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=5.044422910216719, timeString=05.04, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138606, subwayLine=BD, stationId=BSP2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=9.189402011145512, timeString=09.19, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138607, subwayLine=BD, stationId=BAT2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=2.9401679256965947, timeString=02.94, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16594138608, subwayLine=BD, stationId=BAT2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=5.975456099071208, timeString=05.98, trainDestination=KIP2, createDate=Sun Sep 17 11:34:16 EDT 2017, systemMessageType=Normal]
