NTASData [id=16594162346, subwayLine=BD, stationId=ISL1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=1.3732023232198145, timeString=01.37, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162347, subwayLine=BD, stationId=RYK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=3.378109136842106, timeString=03.38, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162348, subwayLine=BD, stationId=OML1, trainId=211, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162349, subwayLine=BD, stationId=OML1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=5.7970947715170285, timeString=05.80, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162350, subwayLine=BD, stationId=JNE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.5957425386996906, timeString=01.60, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162351, subwayLine=BD, stationId=JNE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.392837310216719, timeString=07.39, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162352, subwayLine=BD, stationId=RUN1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.7256789597523223, timeString=02.73, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162353, subwayLine=BD, stationId=RUN1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=8.52277373126935, timeString=08.52, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162354, subwayLine=BD, stationId=HPK1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=3.9505657708978332, timeString=03.95, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162355, subwayLine=BD, stationId=HPK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=9.747660542414863, timeString=09.75, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162356, subwayLine=BD, stationId=KEL1, trainId=210, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162357, subwayLine=BD, stationId=KEL1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=5.1927214365325085, timeString=05.19, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162358, subwayLine=BD, stationId=KEL1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=10.989816208049538, timeString=10.99, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162359, subwayLine=BD, stationId=DNW1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=0.9501421671826626, timeString=00.95, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162360, subwayLine=BD, stationId=DNW1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.1428636037151705, timeString=06.14, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
NTASData [id=16594162361, subwayLine=BD, stationId=DNW1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=11.939958375232202, timeString=11.94, trainDestination=KEN1, createDate=Sun Sep 17 11:36:02 EDT 2017, systemMessageType=Normal]
