NTASData [id=16594202906, subwayLine=YUS, stationId=FIN2, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=4.068257777777778, timeString=04.07, trainDestination=FIN1, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202907, subwayLine=YUS, stationId=FIN2, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=10.327253333333333, timeString=10.33, trainDestination=FIN1, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202908, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=18.398422222222223, timeString=18.40, trainDestination=FIN1, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202909, subwayLine=YUS, stationId=SHP2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.6355644444444444, timeString=00.64, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202910, subwayLine=YUS, stationId=YKM2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=4.216271111111111, timeString=04.22, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202911, subwayLine=YUS, stationId=LAW2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=2.8786666666666667, timeString=02.88, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202912, subwayLine=YUS, stationId=LAW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=7.7292444444444435, timeString=07.73, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202913, subwayLine=YUS, stationId=EGL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.5635111111111113, timeString=01.56, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202914, subwayLine=YUS, stationId=EGL2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=7.161542222222222, timeString=07.16, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202915, subwayLine=YUS, stationId=EGL2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=12.01212, timeString=12.01, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202916, subwayLine=YUS, stationId=DAV2, trainId=111, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202917, subwayLine=YUS, stationId=DAV2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.1731777777777777, timeString=03.17, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202918, subwayLine=YUS, stationId=DAV2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202919, subwayLine=YUS, stationId=STC2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=2.039208888888889, timeString=02.04, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202920, subwayLine=YUS, stationId=STC2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=5.212386666666667, timeString=05.21, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202921, subwayLine=YUS, stationId=STC2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202922, subwayLine=YUS, stationId=SUM2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.4434177777777775, timeString=03.44, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202923, subwayLine=YUS, stationId=SUM2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=6.616595555555556, timeString=06.62, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202924, subwayLine=YUS, stationId=SUM2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202925, subwayLine=YUS, stationId=ROS2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=4.462111111111111, timeString=04.46, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202926, subwayLine=YUS, stationId=ROS2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=7.635288888888889, timeString=07.64, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202927, subwayLine=YUS, stationId=ROS2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202928, subwayLine=YUS, stationId=BLO2, trainId=110, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202929, subwayLine=YUS, stationId=BLO2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.79012, timeString=05.79, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202930, subwayLine=YUS, stationId=BLO2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=8.963297777777777, timeString=08.96, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202931, subwayLine=YUS, stationId=WEL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=0.9543466666666667, timeString=00.95, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202932, subwayLine=YUS, stationId=WEL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=6.744466666666668, timeString=06.74, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202933, subwayLine=YUS, stationId=WEL2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=9.917644444444443, timeString=09.92, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202934, subwayLine=YUS, stationId=COL2, trainId=109, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202935, subwayLine=YUS, stationId=COL2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=1.8838577777777779, timeString=01.88, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202936, subwayLine=YUS, stationId=COL2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=7.673977777777777, timeString=07.67, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202937, subwayLine=YUS, stationId=DUN2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=0.8668577777777778, timeString=00.87, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202938, subwayLine=YUS, stationId=DUN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=2.7507155555555554, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202939, subwayLine=YUS, stationId=DUN2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=8.540835555555555, timeString=08.54, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202940, subwayLine=YUS, stationId=QUN2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=1.623648888888889, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202941, subwayLine=YUS, stationId=QUN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.5075066666666666, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202942, subwayLine=YUS, stationId=QUN2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=9.297626666666666, timeString=09.30, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202943, subwayLine=YUS, stationId=KNG2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=2.4493022222222223, timeString=02.45, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202944, subwayLine=YUS, stationId=KNG2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.3331599999999995, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202945, subwayLine=YUS, stationId=KNG2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=10.12328, timeString=10.12, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
NTASData [id=16594202946, subwayLine=YUS, stationId=UNI2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=3.256328888888889, timeString=03.26, trainDestination=SHW2, createDate=Sun Sep 17 11:39:06 EDT 2017, systemMessageType=Normal]
