NTASData [id=16594309343, subwayLine=YUS, stationId=EGW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.6512592592592592, timeString=01.65, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309344, subwayLine=YUS, stationId=EGW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=7.943451111111112, timeString=07.94, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309345, subwayLine=YUS, stationId=EGW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309346, subwayLine=YUS, stationId=GCN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=3.470899259259259, timeString=03.47, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309347, subwayLine=YUS, stationId=GCN2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=9.763091111111112, timeString=09.76, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309348, subwayLine=YUS, stationId=GCN2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309349, subwayLine=YUS, stationId=LWW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=4.835032592592593, timeString=04.84, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309350, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=11.127224444444444, timeString=11.13, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309351, subwayLine=YUS, stationId=LWW2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309352, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=1.4702037037037037, timeString=01.47, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309353, subwayLine=YUS, stationId=YKD2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.861259259259259, timeString=06.86, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309354, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=13.153451111111112, timeString=13.15, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309355, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=3.489657037037037, timeString=03.49, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309356, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=8.880712592592593, timeString=08.88, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309357, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=15.172904444444445, timeString=15.17, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309358, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309359, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309360, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309361, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309362, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309363, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309364, subwayLine=YUS, stationId=WIL1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309365, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309366, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=2.7868502814814815, timeString=02.79, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309367, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.5926666666666667, timeString=00.59, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309368, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309369, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309370, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309371, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.6109911111111113, timeString=02.61, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309372, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309373, subwayLine=YUS, stationId=GCN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309374, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.96948, timeString=03.97, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309375, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309376, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309377, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.789684444444444, timeString=05.79, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309378, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.698157777777777, timeString=06.70, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309379, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309380, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.489119999999998, timeString=10.49, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
