NTASData [id=16594333802, subwayLine=YUS, stationId=LWW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333803, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333804, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333805, subwayLine=YUS, stationId=GCN1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333806, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333807, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=4.38716888888889, timeString=04.39, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333808, subwayLine=YUS, stationId=EGW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333809, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333810, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=6.207373333333333, timeString=06.21, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333811, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333812, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=9.896453333333332, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333813, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=10.906808888888888, timeString=10.91, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333814, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=10.78062962962963, timeString=10.78, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333815, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=12.52099111111111, timeString=12.52, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333816, subwayLine=YUS, stationId=DUP1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=13.531346666666666, timeString=13.53, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333817, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=11.781260740740741, timeString=11.78, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333818, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=13.521622222222222, timeString=13.52, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333819, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=14.531977777777776, timeString=14.53, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333820, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=12.910867407407405, timeString=12.91, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333821, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=14.651228888888888, timeString=14.65, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333822, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=15.661584444444443, timeString=15.66, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16594333823, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=14.112864074074073, timeString=14.11, trainDestination=FIN1, createDate=Sun Sep 17 11:48:47 EDT 2017, systemMessageType=Normal]
