NTASData [id=16594412547, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412548, subwayLine=YUS, stationId=WIL2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=1.7644533333333334, timeString=01.76, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412549, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=7.229453333333334, timeString=07.23, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412550, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412551, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412552, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412553, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412554, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412555, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412556, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412557, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412558, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412559, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412560, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412561, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594412562, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:55:01 EDT 2017, systemMessageType=Normal]
