NTASData [id=16594432667, subwayLine=YUS, stationId=OSG2, trainId=111, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432668, subwayLine=YUS, stationId=OSG2, trainId=10, trainMessage=Arriving, trainDirection=South, timeInt=1.2305857777777778, timeString=01.23, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432669, subwayLine=YUS, stationId=OSG2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=1.7867733333333333, timeString=01.79, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432670, subwayLine=YUS, stationId=STP2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=0.7539688888888889, timeString=00.75, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432671, subwayLine=YUS, stationId=STP2, trainId=10, trainMessage=Arriving, trainDirection=South, timeInt=1.9845546666666667, timeString=01.98, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432672, subwayLine=YUS, stationId=STP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.5407422222222222, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432673, subwayLine=YUS, stationId=QPK2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=0.8873066666666667, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432674, subwayLine=YUS, stationId=QPK2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=1.8962755555555555, timeString=01.90, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432675, subwayLine=YUS, stationId=QPK2, trainId=10, trainMessage=Arriving, trainDirection=South, timeInt=3.1268613333333333, timeString=03.13, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432676, subwayLine=YUS, stationId=MUS2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=2.14984, timeString=02.15, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432677, subwayLine=YUS, stationId=MUS2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=3.1588088888888888, timeString=03.16, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432678, subwayLine=YUS, stationId=MUS2, trainId=10, trainMessage=Arriving, trainDirection=South, timeInt=4.389394666666666, timeString=04.39, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432679, subwayLine=YUS, stationId=SGU2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.309362222222222, timeString=03.31, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432680, subwayLine=YUS, stationId=SGU2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=4.318331111111111, timeString=04.32, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432681, subwayLine=YUS, stationId=SGU2, trainId=10, trainMessage=Arriving, trainDirection=South, timeInt=5.548916888888888, timeString=05.55, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432682, subwayLine=YUS, stationId=SPA2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=0.6282266666666666, timeString=00.63, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432683, subwayLine=YUS, stationId=SPA2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.477068888888889, timeString=04.48, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432684, subwayLine=YUS, stationId=SPA2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.486037777777778, timeString=05.49, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432685, subwayLine=YUS, stationId=DUP2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=1.6260355555555557, timeString=01.63, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432686, subwayLine=YUS, stationId=DUP2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=5.4748777777777775, timeString=05.47, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432687, subwayLine=YUS, stationId=DUP2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=6.4838466666666665, timeString=06.48, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432688, subwayLine=YUS, stationId=SCW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=4.2505733333333335, timeString=04.25, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432689, subwayLine=YUS, stationId=SCW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=8.099415555555556, timeString=08.10, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432690, subwayLine=YUS, stationId=SCW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=9.108384444444443, timeString=09.11, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432691, subwayLine=YUS, stationId=EGW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=9.063744444444445, timeString=09.06, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432692, subwayLine=YUS, stationId=EGW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=12.912586666666666, timeString=12.91, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432693, subwayLine=YUS, stationId=EGW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=13.921555555555555, timeString=13.92, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432694, subwayLine=YUS, stationId=GCN2, trainId=93, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432695, subwayLine=YUS, stationId=GCN2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=10.883384444444445, timeString=10.88, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432696, subwayLine=YUS, stationId=GCN2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=14.732226666666667, timeString=14.73, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432697, subwayLine=YUS, stationId=LWW2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=1.3641333333333332, timeString=01.36, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432698, subwayLine=YUS, stationId=LWW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=12.247517777777778, timeString=12.25, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432699, subwayLine=YUS, stationId=LWW2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=16.09636, timeString=16.10, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432700, subwayLine=YUS, stationId=YKD2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=3.3903600000000003, timeString=03.39, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432701, subwayLine=YUS, stationId=YKD2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=14.273744444444445, timeString=14.27, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432702, subwayLine=YUS, stationId=YKD2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=18.122586666666667, timeString=18.12, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432703, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432704, subwayLine=YUS, stationId=WIL2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=5.409813333333333, timeString=05.41, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432705, subwayLine=YUS, stationId=WIL2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=16.293197777777777, timeString=16.29, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432706, subwayLine=YUS, stationId=SHW2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432707, subwayLine=YUS, stationId=SHW2, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432708, subwayLine=YUS, stationId=SHW2, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432709, subwayLine=YUS, stationId=SHW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432710, subwayLine=YUS, stationId=SHW1, trainId=104, trainMessage=Delayed, trainDirection=South, timeInt=3.0164814814814815, timeString=03.02, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432711, subwayLine=YUS, stationId=SHW1, trainId=106, trainMessage=Delayed, trainDirection=South, timeInt=3.851277777777778, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432712, subwayLine=YUS, stationId=WIL1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432713, subwayLine=YUS, stationId=WIL1, trainId=532, trainMessage=Delayed, trainDirection=North, timeInt=1.3834799111111111, timeString=01.38, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432714, subwayLine=YUS, stationId=YKD1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432715, subwayLine=YUS, stationId=YKD1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432716, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432717, subwayLine=YUS, stationId=LWW1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432718, subwayLine=YUS, stationId=LWW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432719, subwayLine=YUS, stationId=LWW1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432720, subwayLine=YUS, stationId=GCN1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432721, subwayLine=YUS, stationId=GCN1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=4.38716888888889, timeString=04.39, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432722, subwayLine=YUS, stationId=GCN1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432723, subwayLine=YUS, stationId=EGW1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432724, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.207373333333333, timeString=06.21, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432725, subwayLine=YUS, stationId=EGW1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=6.698157777777777, timeString=06.70, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432726, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.9288518518518516, timeString=02.93, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432727, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Delayed, trainDirection=North, timeInt=9.896453333333332, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16594432728, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=10.906808888888888, timeString=10.91, trainDestination=FIN1, createDate=Sun Sep 17 11:56:32 EDT 2017, systemMessageType=Normal]
