NTASData [id=16594549047, subwayLine=YUS, stationId=YKD1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549048, subwayLine=YUS, stationId=YKD1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549049, subwayLine=YUS, stationId=YKD1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549050, subwayLine=YUS, stationId=LWW1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549051, subwayLine=YUS, stationId=LWW1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549052, subwayLine=YUS, stationId=LWW1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549053, subwayLine=YUS, stationId=GCN1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549054, subwayLine=YUS, stationId=GCN1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=4.38716888888889, timeString=04.39, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549055, subwayLine=YUS, stationId=GCN1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549056, subwayLine=YUS, stationId=EGW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=0.8057962962962962, timeString=00.81, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549057, subwayLine=YUS, stationId=EGW1, trainId=124, trainMessage=Delayed, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549058, subwayLine=YUS, stationId=EGW1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=6.207373333333333, timeString=06.21, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549059, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549060, subwayLine=YUS, stationId=SCW1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=0.8290925925925926, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549061, subwayLine=YUS, stationId=SCW1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=5.5052318518518515, timeString=05.51, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549062, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549063, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.4536303703703704, timeString=03.45, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549064, subwayLine=YUS, stationId=DUP1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=8.12976962962963, timeString=08.13, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549065, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549066, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.454261481481482, timeString=04.45, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549067, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=9.130400740740741, timeString=09.13, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549068, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549069, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.583868148148149, timeString=05.58, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549070, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=10.260007407407407, timeString=10.26, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549071, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=6.744698148148149, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549072, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=6.785864814814815, timeString=06.79, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549073, subwayLine=YUS, stationId=MUS1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=11.462004074074075, timeString=11.46, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549074, subwayLine=YUS, stationId=QPK1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549075, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=8.007231481481481, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549076, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=8.048398148148149, timeString=08.05, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549077, subwayLine=YUS, stationId=STP1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=1.1507733333333334, timeString=01.15, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549078, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=9.158004814814817, timeString=09.16, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549079, subwayLine=YUS, stationId=STP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=9.199171481481482, timeString=09.20, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549080, subwayLine=YUS, stationId=OSG1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=1.90192, timeString=01.90, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549081, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=9.909151481481482, timeString=09.91, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549082, subwayLine=YUS, stationId=OSG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=9.950318148148147, timeString=09.95, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549083, subwayLine=YUS, stationId=STA1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.7357577777777777, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549084, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=10.742989259259259, timeString=10.74, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549085, subwayLine=YUS, stationId=STA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.784155925925926, timeString=10.78, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549086, subwayLine=YUS, stationId=UNI1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.06773333333333334, timeString=00.07, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549087, subwayLine=YUS, stationId=UNI1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=3.6426911111111115, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549088, subwayLine=YUS, stationId=UNI1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=11.649922592592592, timeString=11.65, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549089, subwayLine=YUS, stationId=KNG1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.8626244444444445, timeString=00.86, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549090, subwayLine=YUS, stationId=KNG1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.437582222222223, timeString=04.44, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549091, subwayLine=YUS, stationId=KNG1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=12.444813703703701, timeString=12.44, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549092, subwayLine=YUS, stationId=QUN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.6882777777777778, timeString=01.69, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549093, subwayLine=YUS, stationId=QUN1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=5.263235555555556, timeString=05.26, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549094, subwayLine=YUS, stationId=QUN1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=13.270467037037035, timeString=13.27, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549095, subwayLine=YUS, stationId=DUN1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.4428111111111113, timeString=02.44, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549096, subwayLine=YUS, stationId=DUN1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.017768888888888, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549097, subwayLine=YUS, stationId=DUN1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=14.025000370370368, timeString=14.03, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
