NTASData [id=16594688149, subwayLine=YUS, stationId=OSG1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688150, subwayLine=YUS, stationId=OSG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.1644533333333333, timeString=03.16, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688151, subwayLine=YUS, stationId=OSG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.898438888888888, timeString=04.90, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688152, subwayLine=YUS, stationId=STA1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.8338377777777778, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688153, subwayLine=YUS, stationId=STA1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.998291111111111, timeString=04.00, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688154, subwayLine=YUS, stationId=STA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=5.732276666666666, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688155, subwayLine=YUS, stationId=UNI1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.740771111111111, timeString=01.74, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688156, subwayLine=YUS, stationId=UNI1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=4.905224444444444, timeString=04.91, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688157, subwayLine=YUS, stationId=UNI1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=6.6392099999999985, timeString=06.64, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688158, subwayLine=YUS, stationId=KNG1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=0.1840088888888889, timeString=00.18, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688159, subwayLine=YUS, stationId=KNG1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.5356622222222223, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688160, subwayLine=YUS, stationId=KNG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=5.700115555555556, timeString=05.70, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688161, subwayLine=YUS, stationId=QUN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=1.0096622222222222, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688162, subwayLine=YUS, stationId=QUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=3.3613155555555556, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688163, subwayLine=YUS, stationId=QUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=6.525768888888889, timeString=06.53, trainDestination=FIN1, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
