NTASData [id=16594752007, subwayLine=YUS, stationId=SHW1, trainId=5, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752008, subwayLine=YUS, stationId=SHW1, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752009, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=11.080731111111112, timeString=11.08, trainDestination=SHW2, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752010, subwayLine=YUS, stationId=WIL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.8368688, timeString=00.84, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752011, subwayLine=YUS, stationId=YKD1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752012, subwayLine=YUS, stationId=YKD1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752013, subwayLine=YUS, stationId=YKD1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=2.852371022222222, timeString=02.85, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752014, subwayLine=YUS, stationId=LWW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752015, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=3.02868, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752016, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=3.5194644444444445, timeString=03.52, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752017, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=2.9022296296296295, timeString=02.90, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752018, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=4.38716888888889, timeString=04.39, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752019, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=4.877953333333333, timeString=04.88, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752020, subwayLine=YUS, stationId=EGW1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752021, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=4.722434074074074, timeString=04.72, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752022, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=6.207373333333333, timeString=06.21, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752023, subwayLine=YUS, stationId=SCW1, trainId=125, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752024, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752025, subwayLine=YUS, stationId=SCW1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=0.8290925925925926, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752026, subwayLine=YUS, stationId=DUP1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=2.624537777777778, timeString=02.62, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752027, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752028, subwayLine=YUS, stationId=DUP1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=3.4536303703703704, timeString=03.45, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752029, subwayLine=YUS, stationId=SPA1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.625168888888889, timeString=03.63, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594752030, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:21:07 EDT 2017, systemMessageType=Normal]
