NTASData [id=16594766808, subwayLine=YUS, stationId=UNI1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766809, subwayLine=YUS, stationId=UNI1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.4919177777777777, timeString=02.49, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766810, subwayLine=YUS, stationId=UNI1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766811, subwayLine=YUS, stationId=KNG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=0.7948911111111111, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766812, subwayLine=YUS, stationId=KNG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.286808888888889, timeString=03.29, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766813, subwayLine=YUS, stationId=KNG1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=6.902112222222222, timeString=06.90, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766814, subwayLine=YUS, stationId=QUN1, trainId=112, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766815, subwayLine=YUS, stationId=QUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.6205444444444443, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766816, subwayLine=YUS, stationId=QUN1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.112462222222222, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766817, subwayLine=YUS, stationId=DUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.7545333333333333, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766818, subwayLine=YUS, stationId=DUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.375077777777778, timeString=02.38, trainDestination=FIN1, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
