NTASData [id=16595082959, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=0.21618222222222222, timeString=00.22, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082960, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=4.008604444444444, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082961, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=6.561764444444444, timeString=06.56, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082962, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.358488888888889, timeString=01.36, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082963, subwayLine=YUS, stationId=QPK2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.15091111111111, timeString=05.15, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082964, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.70407111111111, timeString=07.70, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082965, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.621022222222222, timeString=02.62, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082966, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=6.413444444444444, timeString=06.41, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082967, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=8.966604444444444, timeString=08.97, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082968, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.7805444444444447, timeString=03.78, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082969, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.572966666666666, timeString=07.57, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082970, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.126126666666666, timeString=10.13, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082971, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.9482511111111105, timeString=04.95, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082972, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.740673333333332, timeString=08.74, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082973, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=11.293833333333334, timeString=11.29, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082974, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.946060000000001, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082975, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=9.73848222222222, timeString=09.74, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082976, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.291642222222222, timeString=12.29, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082977, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.570597777777778, timeString=08.57, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082978, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=12.363019999999999, timeString=12.36, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082979, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=14.916179999999999, timeString=14.92, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082980, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.38376888888889, timeString=13.38, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082981, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=17.17619111111111, timeString=17.18, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082982, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=19.72935111111111, timeString=19.73, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082983, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.20340888888889, timeString=15.20, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082984, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.99583111111111, timeString=19.00, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082985, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=21.54899111111111, timeString=21.55, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082986, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.567542222222222, timeString=16.57, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082987, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=20.359964444444444, timeString=20.36, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082988, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=22.91312444444445, timeString=22.91, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082989, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.593768888888892, timeString=18.59, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082990, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=22.38619111111111, timeString=22.39, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082991, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=24.939351111111115, timeString=24.94, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082992, subwayLine=YUS, stationId=WIL2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082993, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.613222222222223, timeString=20.61, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082994, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=24.40564444444444, timeString=24.41, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082995, subwayLine=YUS, stationId=SHW2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082996, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082997, subwayLine=YUS, stationId=SHW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082998, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595082999, subwayLine=YUS, stationId=SHW1, trainId=113, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083000, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083001, subwayLine=YUS, stationId=WIL1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083002, subwayLine=YUS, stationId=WIL1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083003, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083004, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Delayed, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083005, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083006, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083007, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083008, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083009, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083010, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083011, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=2.3739703703703707, timeString=02.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083012, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=1.8202044444444447, timeString=01.82, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083013, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083014, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083015, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=6.519639999999999, timeString=06.52, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083016, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083017, subwayLine=YUS, stationId=SCW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=8.893610370370371, timeString=08.89, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083018, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.075314814814815, timeString=02.08, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
