NTASData [id=16595104142, subwayLine=SHEP, stationId=BSS2, trainId=464, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104143, subwayLine=SHEP, stationId=BYV2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=1.791241610738255, timeString=01.79, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104144, subwayLine=SHEP, stationId=YIE2, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104145, subwayLine=SHEP, stationId=YIE2, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=5.932147651006711, timeString=05.93, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104146, subwayLine=SHEP, stationId=YIE1, trainId=463, trainMessage=Arriving, trainDirection=West, timeInt=1.461744966442953, timeString=01.46, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104147, subwayLine=SHEP, stationId=YIE1, trainId=464, trainMessage=Arriving, trainDirection=West, timeInt=5.932147651006711, timeString=05.93, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104148, subwayLine=SHEP, stationId=BSS1, trainId=462, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=DML1, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104149, subwayLine=SHEP, stationId=LES1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=1.5878859060402686, timeString=01.59, trainDestination=DML1, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104150, subwayLine=SHEP, stationId=DML1, trainId=461, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=YIE2, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104151, subwayLine=SHEP, stationId=DML1, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=5.092550335570469, timeString=05.09, trainDestination=DML1, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595104152, subwayLine=SHEP, stationId=DML2, trainId=462, trainMessage=Arriving, trainDirection=East, timeInt=5.092550335570469, timeString=05.09, trainDestination=DML1, createDate=Sun Sep 17 12:49:16 EDT 2017, systemMessageType=Normal]
