NTASData [id=16595135974, subwayLine=YUS, stationId=DAV2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=0.4967111111111111, timeString=00.50, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135975, subwayLine=YUS, stationId=DAV2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135976, subwayLine=YUS, stationId=DAV2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=13.33392, timeString=13.33, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135977, subwayLine=YUS, stationId=STC2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.53592, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135978, subwayLine=YUS, stationId=STC2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135979, subwayLine=YUS, stationId=STC2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=15.373128888888889, timeString=15.37, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135980, subwayLine=YUS, stationId=SUM2, trainId=107, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135981, subwayLine=YUS, stationId=SUM2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.9401288888888883, timeString=03.94, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135982, subwayLine=YUS, stationId=SUM2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135983, subwayLine=YUS, stationId=ROS2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.0186933333333332, timeString=01.02, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135984, subwayLine=YUS, stationId=ROS2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.9588222222222225, timeString=04.96, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135985, subwayLine=YUS, stationId=ROS2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135986, subwayLine=YUS, stationId=BLO2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.3467022222222225, timeString=02.35, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135987, subwayLine=YUS, stationId=BLO2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=6.286831111111113, timeString=06.29, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135988, subwayLine=YUS, stationId=BLO2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=14.56132888888889, timeString=14.56, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135989, subwayLine=YUS, stationId=WEL2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=0.6993466666666667, timeString=00.70, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595135990, subwayLine=YUS, stationId=WEL2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=3.301048888888889, timeString=03.30, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
