NTASData [id=16595181672, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=Arriving, trainDirection=North, timeInt=0.6112407407407408, timeString=00.61, trainDestination=SHW1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181673, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181674, subwayLine=YUS, stationId=SHW1, trainId=16, trainMessage=Delayed, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181675, subwayLine=YUS, stationId=WIL1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181676, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Delayed, trainDirection=North, timeInt=0.5163132444444444, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181677, subwayLine=YUS, stationId=WIL1, trainId=999, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181678, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181679, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181680, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181681, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181682, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181683, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181684, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181685, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181686, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181687, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181688, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181689, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181690, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181691, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181692, subwayLine=YUS, stationId=SCW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181693, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=9.866381481481481, timeString=09.87, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181694, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=10.78062962962963, timeString=10.78, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181695, subwayLine=YUS, stationId=DUP1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181696, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=10.867012592592591, timeString=10.87, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181697, subwayLine=YUS, stationId=SPA1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=11.781260740740741, timeString=11.78, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181698, subwayLine=YUS, stationId=SPA1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181699, subwayLine=YUS, stationId=SGU1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=11.996619259259258, timeString=12.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181700, subwayLine=YUS, stationId=SGU1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=12.910867407407405, timeString=12.91, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181701, subwayLine=YUS, stationId=SGU1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181702, subwayLine=YUS, stationId=MUS1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=13.198615925925923, timeString=13.20, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181703, subwayLine=YUS, stationId=MUS1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=14.112864074074073, timeString=14.11, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181704, subwayLine=YUS, stationId=MUS1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181705, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.6699955555555556, timeString=00.67, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181706, subwayLine=YUS, stationId=QPK1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=14.461149259259258, timeString=14.46, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181707, subwayLine=YUS, stationId=QPK1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=15.375397407407407, timeString=15.38, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
NTASData [id=16595181708, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=1.8207688888888889, timeString=01.82, trainDestination=FIN1, createDate=Sun Sep 17 12:55:30 EDT 2017, systemMessageType=Normal]
